geometry,amplitude,seed,n,dissonance,d_roughness,d_inharmonic,r_global,r_local,fragmentation,r_between,harmonic_purity,mean_incoherence,bifurcation_concentration,bifurcation_excess,branch_over_chain_mismatch,dissonance_intensive,defect_density,freq_spread_hz
hierarchical,2.0,0,607,0.12343533397526249,0.08805782050452735,0.12343533397526249,0.34033191204071045,0.4159275058038838,0.07559559376317337,0.7602326313567337,0.39154562299550033,0.4136551022529602,nan,nan,nan,0.7173021701457257,0.35361953677681945,0.11270324320204732
hierarchical,2.0,1,607,0.1269315303025024,0.08982944021174079,0.1269315303025024,0.3455521762371063,0.4368710107919979,0.09131883455489159,0.7391053010234607,0.3983973960230928,0.4057629406452179,nan,nan,nan,0.6684710827709073,0.3454146073585942,0.1202437871045498
hierarchical,2.0,2,607,0.0944189208739519,0.09405709204173435,0.0944189208739519,0.3559878468513489,0.4141586162439688,0.05817076939261995,0.7981244297163482,0.3980446154208905,0.40795889496803284,nan,nan,nan,0.5535712086850209,0.3479988370966179,0.09274297881254201
hierarchical,2.5,0,607,0.15935905216129068,0.15935905216129068,0.09700842659741198,0.44927868247032166,0.4933717400571948,0.04409305758687315,0.8747296345911919,0.53494163854646,0.37628409266471863,nan,nan,nan,0.6569704622665198,0.29137190296217336,0.0719596167102164
hierarchical,2.5,1,607,0.1489126656168975,0.1489126656168975,0.10877825961963211,0.4508761763572693,0.49337674259112985,0.04250056623386056,0.862376319387671,0.5220329391455621,0.37023282051086426,nan,nan,nan,0.6141198731229599,0.28332848790257453,0.08459342628994912
hierarchical,2.5,2,607,0.16767297691309277,0.16767297691309277,0.08047432485097183,0.465013325214386,0.49932231768507246,0.03430899247068647,0.9011028424110664,0.5609736909725357,0.36828315258026123,nan,nan,nan,0.674066429966412,0.2816487385728591,0.05681036077945957
hierarchical,3.0,0,607,0.23668222757832,0.23668222757832,0.04098401748557333,0.5660423040390015,0.5874140313389392,0.02137172729993775,0.9494798171478328,0.7019826891862907,0.32544925808906555,nan,nan,nan,0.6876907884711392,0.2140065251800885,0.033133871655171954
hierarchical,3.0,1,607,0.241641049850752,0.241641049850752,0.06536708833410206,0.5716598033905029,0.5891701749741579,0.017510371583654982,0.935803686707992,0.6724361238831976,0.3096768856048584,nan,nan,nan,0.6982376872219017,0.19743515198501146,0.04244276515517921
hierarchical,3.0,2,607,0.20951458132655804,0.20951458132655804,0.035025433943470415,0.5890533924102783,0.6055880373235769,0.01653464491329859,0.95408390500629,0.7055725127831426,0.3010440468788147,nan,nan,nan,0.5728795916699521,0.18619375262460833,0.04031994344983378
hierarchical,3.5,0,607,0.18487760314552654,0.18487760314552654,0.009457072484266374,0.6838743090629578,0.6916954832527199,0.007821174189762137,0.9788606325664344,0.8225107052856089,0.24649187922477722,nan,nan,nan,0.3874335345293335,0.10911910068805117,0.015922699431942508
hierarchical,3.5,1,607,0.22894267532565343,0.22894267532565343,0.006164027576188751,0.6908581256866455,0.6926684481095448,0.0018103224228992465,0.98173063271638,0.8088761703116905,0.23852920532226562,nan,nan,nan,0.47842819331347347,0.10976515812255709,0.009748104703527546
hierarchical,3.5,2,607,0.2234228571701475,0.2234228571701475,0.011607616366624822,0.6911052465438843,0.7039693062450035,0.012864059701119257,0.9747299347395423,0.8132477448337431,0.2359742522239685,nan,nan,nan,0.45182954518619844,0.10378912685337727,0.01570697963443576
hierarchical,4.0,0,607,0.17211861729154443,0.17211861729154443,0.0024904751583957547,0.77713942527771,0.7801438056985311,0.0030043804208211844,0.9894177836075034,0.8857176257955887,0.17306114733219147,nan,nan,nan,0.2835104676561244,0.04800206738379042,0.007024632342535874
hierarchical,4.0,1,607,0.16660460097808766,0.16660460097808766,0.001649644244056448,0.7917918562889099,0.792727454703436,0.0009355984145260621,0.9879308848955038,0.8948925057895508,0.16444095969200134,nan,nan,nan,0.2656608416642317,0.042542882062215334,0.00520847147647622
hierarchical,4.0,2,607,0.15125896507831985,0.15125896507831985,0.0018589309926748052,0.793414294719696,0.8012861982958323,0.007871903576136208,0.985659576458964,0.8900350123535778,0.15871305763721466,nan,nan,nan,0.2361376864403266,0.03979713796556514,0.0056784453607192625
hierarchical,5.0,0,607,0.03564896399081666,0.03564896399081666,3.998048466533868e-05,0.904543399810791,0.9084418739352415,0.003898474124450435,0.9964283361755427,0.9537688259214944,0.07080981880426407,nan,nan,nan,0.04327213162516495,0.003165681429079045,0.0007071845330467262
hierarchical,5.0,1,607,0.038469150548725566,0.038469150548725566,4.236808823784809e-05,0.917770504951477,0.9210377659381728,0.003267260986695719,0.996298831256745,0.9591808498951333,0.06391152739524841,nan,nan,nan,0.045420466180111606,0.0011629033821106696,0.0007121522255348175
hierarchical,5.0,2,607,0.04983454001517043,0.04983454001517043,7.392989214626132e-05,0.904729425907135,0.908940339768228,0.0042109138610929575,0.9943270027632392,0.9547119204112204,0.07127012312412262,nan,nan,nan,0.06041920227732745,0.002390412507671932,0.0009562830085590689
hierarchical,6.0,0,607,0.003514423088350409,0.003514423088350409,3.289697050165022e-07,0.9529697895050049,0.9551184875490762,0.002148698044071362,0.9986210938273394,0.9751070448919763,0.034000884741544724,nan,nan,nan,0.003858519521048695,9.690861517588914e-05,5.587647105239437e-05
